ts,o,h,l,c,vol,volCcy,volCcyQuote,confirm
1717173900000,66944.1,67222.2,66944.1,67197.6,113.3467074,7603997.245632035,7603997.245632035,1
1717173000000,66988.0,67111.1,66873.9,66947.5,159.02235704,10653309.83829302,10653309.83829302,1
1717172100000,66817.0,67036.0,66654.1,66988.1,272.85882173,18230349.020277143,18230349.020277143,1
1717171200000,67209.7,67346.9,66800.0,66816.0,446.60328211,29922882.037112754,29922882.037112754,1
1717170300000,67421.2,67421.2,67200.1,67209.6,101.21009343,6810487.318016379,6810487.318016379,1
1717169400000,67455.1,67466.8,67212.0,67421.3,106.35015863,7161791.878464029,7161791.878464029,1
1717168500000,67316.0,67488.9,67240.0,67454.8,96.63367585,6511042.653522107,6511042.653522107,1
1717167600000,67488.0,67539.9,67304.2,67315.9,89.926074,6062861.01935323,6062861.01935323,1
1717166700000,67351.6,67536.0,67255.3,67485.6,363.14901794,24473982.90456323,24473982.90456323,1
1717165800000,67747.1,67847.2,67333.4,67350.5,355.53242904,24022014.239095125,24022014.239095125,1
1717164900000,67814.1,67946.5,67662.7,67748.1,164.66775114,11162585.378538396,11162585.378538396,1
1717164000000,68075.5,68077.0,67710.2,67814.0,251.07517644,17049025.75746062,17049025.75746062,1
1717163100000,68413.9,68443.5,68016.4,68074.9,91.16196506,6217782.764269368,6217782.764269368,1
1717162200000,68700.7,68776.1,68125.7,68412.7,202.01221181,13806198.703404736,13806198.703404736,1
1717161300000,68716.7,68812.2,68618.4,68704.0,61.65784667,4237184.568805497,4237184.568805497,1
1717160400000,68632.3,68817.5,68611.6,68716.8,48.10422902,3305715.337371119,3305715.337371119,1
1717159500000,68858.7,68954.0,68528.5,68632.3,84.44418994,5805424.267851883,5805424.267851883,1
1717158600000,68557.3,69049.6,68557.3,68860.0,323.49215508,22284580.088525813,22284580.088525813,1
1717157700000,68390.3,68588.0,68375.7,68557.3,60.3608567,4133911.434493907,4133911.434493907,1
1717156800000,68355.9,68466.1,68323.6,68390.2,43.7064327,2989439.260167197,2989439.260167197,1
1717155900000,68402.5,68430.9,68341.0,68356.0,31.10168509,2127158.113532767,2127158.113532767,1
