ts,o,h,l,c,vol,volCcy,volCcyQuote,confirm
1717171200000,67209.7,67456.0,66654.1,67342.7,1211.9062654,81229361.4554103,81229361.4554103,1
1717164000000,68075.5,68077.0,67200.1,67209.6,1528.54437647,103253791.14901312,103253791.14901312,1
1717156800000,68355.9,69049.6,68016.4,68074.9,914.93988698,62780236.42488952,62780236.42488952,1
1717149600000,67949.3,68462.3,67926.1,68356.0,370.43533612,25291605.424823742,25291605.424823742,1
1717142400000,68169.5,68313.5,67870.7,67949.2,221.19941873,15056844.581702888,15056844.581702888,1
1717135200000,68440.2,68459.3,68070.1,68169.5,428.92758159,29277721.762922946,29277721.762922946,1
1717128000000,68533.1,68654.7,68287.2,68440.2,355.61688363,24347071.73814587,24347071.73814587,1
1717120800000,68455.5,68748.7,68433.4,68533.0,517.54771635,35490327.10153891,35490327.10153891,1
1717113600000,68358.5,68659.3,68277.1,68455.4,681.16229496,46657789.22495661,46657789.22495661,1
1717106400000,68416.4,68526.9,68234.1,68357.9,161.29812533,11025240.209340528,11025240.209340528,1
1717099200000,68666.3,68673.1,68039.6,68416.4,245.09706002,16748267.03480024,16748267.03480024,1
1717092000000,69320.0,69423.9,68430.9,68666.2,455.53909425,31444200.062756725,31444200.062756725,1
1717084800000,68532.0,69515.0,68350.6,69319.9,1096.88452616,75700033.58324039,75700033.58324039,1
1717077600000,68615.9,68823.9,68147.3,68532.1,884.63675865,60648741.85198794,60648741.85198794,1
1717070400000,67799.5,68678.1,67733.3,68616.0,1482.81718685,101083258.99900757,101083258.99900757,1
1717063200000,67745.9,68115.7,67547.2,67799.7,811.90313903,55080522.805853635,55080522.805853635,1
1717056000000,67587.2,67768.0,67123.9,67742.1,626.88296342,42284684.38441406,42284684.38441406,1
1717048800000,68147.9,68192.0,67520.9,67587.2,624.04026301,42344059.620259315,42344059.620259315,1
1717041600000,68130.4,68429.9,67972.8,68147.9,719.24392748,49037225.17328387,49037225.17328387,1
1717034400000,67803.3,68229.2,67778.6,68131.6,622.81558275,42391064.45312843,42391064.45312843,1
1717027200000,67647.6,67863.1,67469.8,67806.6,302.09092538,20451292.268066082,20451292.268066082,1
1717020000000,67694.8,67827.3,67572.0,67647.7,154.3350554,10443514.112027127,10443514.112027127,1
1717012800000,67267.4,67843.2,67142.1,67694.9,170.98410934,11535284.231463835,11535284.231463835,1
1717005600000,67612.4,67769.9,67220.1,67266.2,283.15549495,19098591.678029466,19098591.678029466,1
1716998400000,67380.1,67726.9,67137.5,67612.3,747.58451283,50388995.981967546,50388995.981967546,1
1716991200000,67893.5,67966.5,67300.0,67380.0,853.71681282,57698066.074618936,57698066.074618936,1
1716984000000,67773.6,68272.4,67591.4,67884.2,589.30636837,40001616.79246915,40001616.79246915,1
1716976800000,67908.0,68028.0,67733.9,67771.9,335.44822714,22777713.836761907,22777713.836761907,1
1716969600000,67944.7,68035.0,67600.0,67904.4,726.49640065,49265678.18693864,49265678.18693864,1
1716962400000,68593.6,68675.8,67944.3,67944.7,437.8309355,29909451.637611598,29909451.637611598,1
1716955200000,68840.0,68934.6,68583.6,68588.4,280.02172882,19262467.605533026,19262467.605533026,1
1716948000000,68578.0,68926.3,68444.3,68840.0,742.41900723,51013260.01990099,51013260.01990099,1
1716940800000,68406.0,68740.0,68272.0,68574.1,435.31972342,29833171.87667337,29833171.87667337,1
1716933600000,68401.7,68670.8,68345.6,68405.9,246.65840847,16906180.795111664,16906180.795111664,1
1716926400000,68431.1,68561.9,68130.8,68401.7,242.25554437,16560219.82008897,16560219.82008897,1
1716919200000,67779.9,68617.0,67264.3,68429.7,655.17056879,44509840.164902925,44509840.164902925,1
1716912000000,68380.8,68475.5,67656.1,67774.0,412.14711049,28020214.2576328,28020214.2576328,1
1716904800000,67788.9,68470.8,67526.2,68379.4,655.50550232,44595190.67084726,44595190.67084726,1
1716897600000,68391.5,68567.4,67656.5,67788.0,545.69906694,37178943.421315044,37178943.421315044,1
1716890400000,68327.8,68889.9,68245.9,68391.5,611.30134052,41913891.21429399,41913891.21429399,1
1716883200000,67687.4,68513.7,67586.9,68327.8,572.10699478,38992522.658892356,38992522.658892356,1
1716876000000,68052.7,68082.4,67668.0,67687.4,502.70473307,34116540.88282376,34116540.88282376,1
1716868800000,68050.9,68135.0,67485.0,68051.3,863.24750898,58543581.46052024,58543581.46052024,1
1716861600000,68625.0,68855.8,67756.5,68050.8,1128.08017517,77088698.49943705,77088698.49943705,1
1716854400000,69416.1,69614.4,68540.0,68625.0,1407.3585559,97338549.29827866,97338549.29827866,1
1716847200000,69806.4,69813.2,69307.6,69416.1,369.35858367,25647344.395682752,25647344.395682752,1
