ts,o,h,l,c,vol,volCcy,volCcyQuote,confirm
1718380800000,66389.9,66524.9,65188.0,65291.2,1653.40244686,108627674.39229445,108627674.39229445,1
1718377200000,66983.8,67053.9,66338.0,66388.3,362.03857938,24131205.130153757,24131205.130153757,1
1718373600000,67071.3,67119.9,66553.1,66983.8,426.72892667,28511143.961352136,28511143.961352136,1
1718370000000,67077.7,67366.3,66950.0,67070.7,332.87225083,22364795.598783515,22364795.598783515,1
1718366400000,67039.9,67293.3,66975.7,67077.8,322.40442361,21642787.471841216,21642787.471841216,1
1718362800000,66865.3,67099.0,66776.0,67038.8,140.19010046,9388773.563563174,9388773.563563174,1
1718359200000,66921.5,67021.0,66833.0,66865.0,79.54103789,5322145.018990311,5322145.018990311,1
1718355600000,67149.1,67149.1,66900.0,66921.5,139.15531097,9325392.993477372,9325392.993477372,1
1718352000000,66908.9,67266.0,66864.3,67151.9,153.24265602,10288152.380380865,10288152.380380865,1
1718348400000,66960.0,67099.0,66895.3,66908.8,288.82139751,19346466.384651873,19346466.384651873,1
1718344800000,67065.3,67121.2,66878.5,66960.1,151.99935083,10183075.823846426,10183075.823846426,1
1718341200000,66714.3,67210.7,66710.3,67058.4,268.40449444,17988127.283843447,17988127.283843447,1
1718337600000,66748.0,66835.4,66710.0,66714.4,144.06675017,9616683.39021522,9616683.39021522,1
1718334000000,66953.3,66991.2,66672.9,66748.0,130.03281184,8684551.649881825,8684551.649881825,1
1718330400000,66797.9,67032.0,66699.5,66956.0,231.45285255,15470328.555144843,15470328.555144843,1
1718326800000,66711.6,66831.0,66468.3,66797.9,180.31362896,12015862.183044974,12015862.183044974,1
1718323200000,66775.6,66896.0,66594.6,66709.4,173.07378522,11547448.86412313,11547448.86412313,1
1718319600000,66885.9,66908.0,66679.6,66775.7,84.48406091,5643279.634249267,5643279.634249267,1
1718316000000,66973.4,66987.5,66837.8,66885.9,52.62054675,3521598.763749917,3521598.763749917,1
1718312400000,66713.1,66973.4,66676.9,66973.4,52.39316052,3499686.913853153,3499686.913853153,1
1718308800000,66602.0,66804.0,66522.1,66713.0,125.32306782,8355750.209981825,8355750.209981825,1
1718305200000,66854.6,66887.3,66585.2,66606.8,176.05064842,11746688.152693253,11746688.152693253,1
1718301600000,66916.1,66981.6,66685.1,66860.5,173.28844283,11585650.352655595,11585650.352655595,1
1718298000000,66979.5,67070.0,66640.1,66918.5,247.31875397,16537646.073330835,16537646.073330835,1
1718294400000,66458.1,67025.4,66258.0,66979.5,640.76595758,42685587.77895275,42685587.77895275,1
1718290800000,67357.2,67536.0,66333.0,66460.0,924.87461864,61755129.36245968,61755129.36245968,1
1718287200000,67591.4,67734.7,67152.1,67361.9,416.03734796,28063293.38258418,28063293.38258418,1
1718283600000,67738.0,68267.5,67518.4,67591.5,449.10509684,30510688.24367871,30510688.24367871,1
1718280000000,67744.9,68458.0,67455.1,67743.5,925.92371073,62911304.1987047,62911304.1987047,1
1718276400000,67824.0,67958.9,67648.6,67745.4,189.26730676,12839465.397284815,12839465.397284815,1
1718272800000,67422.0,67981.4,67230.7,67824.0,185.12590182,12515453.088733938,12515453.088733938,1
1718269200000,67577.0,67577.0,67173.8,67421.8,194.2809015,13086486.81794325,13086486.81794325,1
