ts,o,h,l,c,vol,volCcy,volCcyQuote,confirm
1718384220000,65352.0,65363.8,65240.0,65291.2,36.9476692,2412523.527392403,2412523.527392403,1
1718384040000,65451.9,65490.7,65334.9,65353.2,30.78924929,2015024.53673028,2015024.53673028,1
1718383860000,65484.4,65584.0,65452.1,65452.1,40.99624732,2686639.378732693,2686639.378732693,1
1718383680000,65284.9,65538.4,65260.0,65487.6,62.07974979,4062279.531975136,4062279.531975136,1
1718383500000,65275.0,65399.8,65189.2,65282.0,40.33390948,2632824.453443923,2632824.453443923,1
1718383320000,65332.4,65500.0,65188.0,65280.2,74.93490316,4891126.284522594,4891126.284522594,1
1718383140000,65341.4,65420.6,65288.6,65335.3,45.5486018,2976299.086782804,2976299.086782804,1
1718382960000,65400.3,65518.7,65292.9,65337.2,56.56021234,3698935.116876717,3698935.116876717,1
1718382780000,65404.1,65455.3,65268.7,65400.3,74.21149101,4847857.719615861,4847857.719615861,1
1718382600000,65319.9,65472.5,65292.6,65404.9,82.09835188,5366162.773306992,5366162.773306992,1
1718382420000,65673.4,65673.4,65272.4,65319.9,132.77930087,8691240.995390188,8691240.995390188,1
1718382240000,65754.5,65791.5,65596.0,65675.9,31.20439506,2049223.288978917,2049223.288978917,1
1718382060000,65922.9,65922.9,65736.3,65753.8,26.98874251,1776374.177821293,1776374.177821293,1
1718381880000,65735.2,65943.2,65691.4,65930.2,31.91107428,2100711.087347602,2100711.087347602,1
1718381700000,65825.8,65967.6,65681.8,65730.9,48.76780401,3209775.395539173,3209775.395539173,1
1718381520000,66096.0,66099.0,65810.1,65822.9,90.74542504,5983771.559155171,5983771.559155171,1
1718381340000,66129.0,66153.2,65441.4,66096.0,399.68006043,26291216.248466965,26291216.248466965,1
1718381160000,66325.4,66349.0,65959.7,66127.2,311.9029806,20616137.89888461,20616137.89888461,1
1718380980000,66470.6,66502.5,66310.1,66324.5,24.00975599,1594319.287155248,1594319.287155248,1
1718380800000,66389.9,66524.9,66389.9,66470.7,10.9125228,725232.044175885,725232.044175885,1
1718380620000,66387.1,66416.2,66338.0,66388.3,10.47895505,695520.844483528,695520.844483528,1
1718380440000,66439.1,66456.1,66350.0,66387.2,33.01470511,2191994.702715568,2191994.702715568,1
1718380260000,66490.1,66495.6,66385.0,66439.1,40.14151766,2666326.275756115,2666326.275756115,1
