,open,close,high,low,prediction_h,prediction_l,cumulative_capital,trade_profit,cumulative_volume
0,66389.9,65291.2,66524.9,65188.0,69362.82552814484,66789.064578861,979.75,[-20.250000000000018],2000
1,66983.8,66388.3,67053.9,66338.0,70834.67600947618,66366.17225448787,959.5,[-20.250000000000018],4000
2,67071.3,66983.8,67119.9,66553.1,68003.7171934247,69089.73079711199,939.25,[-20.250000000000018],6000
3,67077.7,67070.7,67366.3,66950.0,68003.7171934247,69089.73079711199,919.0,[-20.250000000000018],8000
4,67039.9,67077.8,67293.3,66975.7,68966.97313290834,68762.00121062994,898.75,[-20.250000000000018],10000
5,66865.3,67038.8,67099.0,66776.0,68966.97313290834,68762.00121062994,878.5,[-20.250000000000018],12000
6,66921.5,66865.0,67021.0,66833.0,68966.97313290834,68762.00121062994,858.25,[-20.250000000000018],14000
7,67149.1,66921.5,67149.1,66900.0,68966.97313290834,68762.00121062994,838.0,[-20.250000000000018],16000
8,66908.9,67151.9,67266.0,66864.3,68966.97313290834,68762.00121062994,817.75,[-20.250000000000018],18000
9,66960.0,66908.8,67099.0,66895.3,68966.97313290834,68762.00121062994,797.5,[-20.250000000000018],20000
10,67065.3,66960.1,67121.2,66878.5,68966.97313290834,68762.00121062994,777.25,[-20.250000000000018],22000
11,66714.3,67058.4,67210.7,66710.3,68966.97313290834,68762.00121062994,757.0,[-20.250000000000018],24000
12,66748.0,66714.4,66835.4,66710.0,68966.97313290834,68762.00121062994,736.75,[-20.250000000000018],26000
13,66953.3,66748.0,66991.2,66672.9,68966.97313290834,68762.00121062994,716.5,[-20.250000000000018],28000
14,66797.9,66956.0,67032.0,66699.5,68966.97313290834,68762.00121062994,696.25,[-20.250000000000018],30000
15,66711.6,66797.9,66831.0,66468.3,68966.97313290834,68762.00121062994,676.0,[-20.250000000000018],32000
16,66775.6,66709.4,66896.0,66594.6,68966.97313290834,68762.00121062994,655.75,[-20.250000000000018],34000
17,66885.9,66775.7,66908.0,66679.6,68966.97313290834,68762.00121062994,635.5,[-20.250000000000018],36000
18,66973.4,66885.9,66987.5,66837.8,68966.97313290834,68762.00121062994,615.25,[-20.250000000000018],38000
19,66713.1,66973.4,66973.4,66676.9,68966.97313290834,68762.00121062994,595.0,[-20.250000000000018],40000
20,66602.0,66713.0,66804.0,66522.1,68966.97313290834,68762.00121062994,574.75,[-20.250000000000018],42000
21,66854.6,66606.8,66887.3,66585.2,68966.97313290834,68762.00121062994,554.5,[-20.250000000000018],44000
22,66916.1,66860.5,66981.6,66685.1,68966.97313290834,68762.00121062994,534.25,[-20.250000000000018],46000
23,66979.5,66918.5,67070.0,66640.1,68966.97313290834,68762.00121062994,514.0,[-20.250000000000018],48000
24,66458.1,66979.5,67025.4,66258.0,68966.97313290834,68762.00121062994,493.75,[-20.250000000000018],50000
25,67357.2,66460.0,67536.0,66333.0,69060.3283251524,68832.99336493015,473.5,[-20.250000000000018],52000
26,67591.4,67361.9,67734.7,67152.1,69138.5457918644,68884.35180926323,453.25,[-20.250000000000018],54000
27,67738.0,67591.5,68267.5,67518.4,69138.5457918644,68884.35180926323,433.0,[-20.250000000000018],56000
28,67744.9,67743.5,68458.0,67455.1,69138.5457918644,68884.35180926323,412.75,[-20.250000000000018],58000
29,67824.0,67745.4,67958.9,67648.6,69138.5457918644,68884.35180926323,392.5,[-20.250000000000018],60000
30,67422.0,67824.0,67981.4,67230.7,68796.46420162916,68633.87864136696,372.25,[-20.250000000000018],62000
31,67577.0,67421.8,67577.0,67173.8,68966.97313290834,68762.00121062994,352.0,[-20.250000000000018],64000
